"consent","attention_1","attention_2","self_wash_hands","self_avoid_gatherings","self_isolate","self_share_post","other_wash_hands","other_avoid_gatherings","other_isolate","other_cancel_holiday","person_trustworthiness","person_moral","covid_threat","covid_self_die","covid_other_die","covid_self_responsible","covid_other_responsible","covid_control","covid_home_unpleasant","covid_sought_information","covid_cases_local","covid_cases_personal","forced_choice_message","OUS1","OUS2","OUS3","OUS4","OUS5","OUS6","OUS7","OUS8","OUS9","mood_now","gender","age","ethnicity","health_condition","english_native","marital_status","children","living_situation","Q67_4_TEXT","local_state","education","employment","employer_home_support","income","perceived_class","interest_politics","economic_conservatism","social_conservatism","political_party","Q222_4_TEXT","social_media_hours","social_media_minutes","belief_god","religiosity","general_comments","source_condition","message_condition","gender_binary","gender_binary_numeric","race","education_numeric","overall_conservatism","impartial_beneficence","instrumental_harm","comp1_passed","comp2_passed","comp_passed"
1,4,2,3,3,1,1,1,1,1,1,2,4,3,1,1,4,3,5,6,7,"Yes","No","Utilitarian",3,5,3,2,5,3,2,3,4,3,"Other",19,"Hispanic","No",1,1,"No Children","Partners/Family","","texas","Some college","Student",NA,1,5,3,4,2,"Independent","",3,30,6,1,"","Leader","Virtue",NA,NA,"Unspecified",2,3,3.6,3,"Passed","Passed","Passed"
1,2,2,6,7,2,3,5,5,2,5,6,7,6,2,2,6,6,5,4,4,"Yes","No","Deontological",5,5,6,5,6,2,2,4,2,2,"Male",62,"Asian","No",1,1,"No Children","Alone","","Georgia","PostGrad or Professional degree","Part-Time","Yes",7,4,2,2,2,"Democrat","",0,5,9,5,"The questions are clear and interesting. The post was presented several times during the survey and that helps to think about the ideas in it.  This made me wonder how would the results come out if the post is NOT presented at all. ","Citizen","Virtue","Male",NA,"Asian",5,2,5.4,2.5,"Passed","Passed","Passed"
1,2,1,6,6,5,1,3,3,1,5,4,6,4,1,3,6,7,3,4,7,"Not Sure","No","Deontological",6,2,5,4,4,5,4,5,5,2,"Male",24,"White","No",1,1,"No Children","Alone","","Iowa","4 Year Degree","Full-Time","Unsure",5,6,3,4,1,"Democrat","",3,0,1,1,"","Citizen","Deontological","Male",NA,"White",4,2.5,4.2,4.75,"Passed","Passed","Passed"
1,4,2,5,5,6,2,4,4,3,5,5,5,5,1,3,7,4,4,2,6,"No","No","Virtue",2,2,5,5,3,2,2,5,3,3,"Female",36,"White","No",1,1,"No Children","Alone","","MA","4 Year Degree","Full-Time","Yes",6,7,2,4,3,"Democrat","",2,0,1,1,"The 1st set of questions were awkward because it asked ""after reading...."" instead it should have been how likely are you to do A after reading compared to before reading. I'm extremely likely to avoid social contact for 2weeks after reading the FB post, but I was already planning to do that. 
Also, the interchanging of moral vs permissible in the next set of questions was iffy. You can believe something is vindicated or permissible without it being moral. ","Leader","Virtue","Female",NA,"White",4,3.5,3.4,3,"Passed","Passed","Passed"
1,2,NA,6,4,1,1,4,2,1,2,2,4,4,1,5,4,4,2,5,4,"No","Not Sure","Deontological",4,2,2,2,2,5,4,4,4,3,"Female",26,"White","No",1,1,"No Children","Partners/Family","","North Carolina","4 Year Degree","Part-Time","No",2,7,2,3,2,"Democrat","",4,0,1,1,"","Citizen","Non-Moral","Female",NA,"White",4,2.5,2.4,4.25,"Passed","Passed","Passed"
1,4,3,6,6,1,2,4,3,2,4,4,5,6,3,3,4,3,3,5,6,"Yes","No","Virtue",4,4,7,5,4,2,4,6,2,3,"Male",56,"White","No",1,2,"2 Children","Partners/Family","","Oregon","4 Year Degree","Full-Time","Yes",10,3,3,4,2,"Democrat","",1,0,4,1,"Need one scientific trusted source","Leader","Utilitarian","Male",NA,"White",4,3,4.8,3.5,"Passed","Passed","Passed"
1,4,2,3,7,6,1,4,6,7,7,3,4,7,4,4,4,1,7,1,6,"Yes","No","Utilitarian",2,1,7,3,4,1,1,1,7,1,"Male",37,"Hispanic","No",1,1,"No Children","Housemates","","California","2 year Degree","Student",NA,1,9,2,6,4,"Independent","",3,45,10,5,"","Leader","Virtue","Male",NA,"Unspecified",3,5,3.4,2.5,"Passed","Passed","Passed"
1,2,3,4,6,4,1,5,4,4,2,4,6,5,1,3,4,4,6,4,6,"Yes","No","Utilitarian",6,3,6,6,3,2,1,2,3,2,"Female",33,"Asian","No",1,1,"No Children","Housemates","","California ","4 Year Degree","Full-Time","No",6,7,2,3,3,"Democrat","",10,NA,3,2,"","Citizen","Utilitarian","Female",NA,"Asian",4,3,4.8,2,"Passed","Passed","Passed"
1,2,1,5,2,1,4,3,3,2,3,5,4,6,1,3,6,4,2,6,7,"Yes","No","Virtue",4,5,3,6,2,5,5,6,2,4,"Male",24,"Asian","No",1,1,"No Children","Alone","","California","4 Year Degree","Full-Time","Yes",9,4,3,4,6,"Republican","",4,30,10,6,"","Citizen","Deontological","Male",NA,"Asian",4,5,4,4.5,"Passed","Passed","Passed"
1,4,1,6,7,6,4,6,6,6,6,7,5,7,1,3,6,6,4,3,7,"Yes","No","Deontological",3,2,3,6,3,5,5,5,5,3,"Male",47,"Black","No",1,1,"No Children","Housemates","","New York","4 Year Degree","Part-Time","Yes",7,5,3,5,1,"Independent","",1,10,10,4,"","Leader","Deontological","Male",NA,"Black",4,3,3.4,5,"Passed","Passed","Passed"
1,4,NA,7,6,4,4,7,4,4,7,6,7,7,2,3,7,4,5,1,7,"No","No","Utilitarian",5,5,2,5,5,5,5,5,5,2,"Male",39,"White","Not Sure",1,1,"No Children","Alone","","NJ","4 Year Degree","Student",NA,5,7,2,2,2,"Democrat","",2,30,10,5,"","Leader","Non-Moral","Male",NA,"White",4,2,4.4,5,"Passed","Passed","Passed"
1,4,NA,5,5,5,2,3,3,3,3,5,5,6,1,2,5,5,4,4,7,"Yes","No","Utilitarian",4,3,6,5,3,3,4,2,2,4,"Female",29,"White","No",1,2,"No Children","Alone","","texas","PostGrad or Professional degree","Student",NA,4,6,2,4,1,"Democrat","",4,NA,3,1,"","Leader","Non-Moral","Female",NA,"White",5,2.5,4.2,2.75,"Passed","Passed","Passed"
1,2,3,6,4,4,1,7,5,5,2,4,4,3,1,7,6,6,6,1,3,"Yes","Yes","Deontological",1,2,3,2,4,1,1,2,3,3,"Female",31,"White","Yes",1,2,"1 Child","Partners/Family","","New York","Some college","Part-Time","No",7,6,2,2,2,"Independent","",2,0,1,1,"","Citizen","Utilitarian","Female",NA,"White",2,2,2.4,1.75,"Passed","Passed","Passed"
1,4,3,7,7,7,3,5,6,5,6,6,6,5,3,4,7,5,5,3,3,"Yes","No","Utilitarian",4,3,6,3,1,5,1,2,5,4,"Male",31,"Hispanic","Yes",2,2,"1 Child","Partners/Family","","california","Some college","Full-Time","No",8,5,1,3,6,"None","",0,30,8,4,"","Leader","Utilitarian","Male",NA,"Unspecified",2,4.5,3.4,3.25,"Passed","Passed","Passed"
1,2,2,7,5,2,1,7,2,1,7,4,4,5,1,2,6,3,3,1,7,"Yes","No","Deontological",5,6,4,6,4,4,3,4,4,3,"Female",72,"Other","No",1,4,"1 Child","Alone","","Oklahoma","PostGrad or Professional degree","Unemployed",NA,5,7,3,7,7,"Republican","",1,10,10,7,"Over exaggerated","Citizen","Virtue","Female",NA,"Unspecified",5,7,5,3.75,"Passed","Passed","Passed"
1,4,2,7,6,3,4,6,5,2,4,6,7,6,1,2,7,4,4,3,5,"No","No","Utilitarian",4,5,7,6,5,4,1,6,3,2,"Male",65,"White","No",1,2,"2 Children","Partners/Family","","NJ","4 Year Degree","Full-Time","Yes",10,4,3,3,2,"Democrat","",1,45,3,3,"","Leader","Virtue","Male",NA,"White",4,2.5,5.4,3.5,"Passed","Passed","Passed"
1,2,1,2,1,2,1,4,2,2,1,2,4,3,1,1,2,1,2,4,4,"No","No","Utilitarian",2,3,2,5,3,2,3,2,3,2,"Female",31,"White","Yes",1,1,"No Children","Partners/Family","","IN","4 Year Degree","Unemployed",NA,4,6,2,4,4,"None","",1,0,10,7,"","Citizen","Deontological","Female",NA,"White",4,4,3,2.5,"Passed","Passed","Passed"
1,4,1,5,5,4,5,5,5,4,3,6,6,5,2,3,5,6,5,4,7,"Yes","No","Deontological",3,3,6,3,3,5,4,5,5,4,"Female",26,"Asian","No",1,2,"No Children","Housemates","","MA","4 Year Degree","Student",NA,6,7,2,2,1,"Democrat","",2,0,2,2,"","Leader","Deontological","Female",NA,"Asian",4,1.5,3.6,4.75,"Passed","Passed","Passed"
1,4,3,6,5,6,5,4,2,1,1,6,5,5,2,3,4,5,7,5,4,"No","No","Virtue",5,6,4,5,5,2,2,1,3,2,"Male",59,"White","Yes",1,2,"No Children","Partners/Family","","Iowa","4 Year Degree","Unemployed",NA,5,8,3,2,1,"Democrat","",1,0,7,2,"","Leader","Utilitarian","Male",NA,"White",4,1.5,5,2,"Passed","Passed","Passed"
1,2,2,5,1,1,4,4,5,5,5,5,5,5,1,2,3,3,5,5,6,"Yes","No","Deontological",5,6,5,5,5,5,5,5,6,5,"Male",19,"White","No",1,1,"No Children","Alone","","florida","PostGrad or Professional degree","Full-Time","No",5,7,1,7,7,"Republican","",0,15,10,7,"","Citizen","Virtue","Male",NA,"White",5,7,5.2,5.25,"Passed","Passed","Passed"
1,2,NA,7,7,7,7,7,7,7,7,6,7,7,4,4,7,7,6,6,7,"Yes","No","Deontological",3,4,1,7,4,4,7,5,4,4,"Male",60,"Other","No",1,4,"3 Children","Alone","","Texas","PostGrad or Professional degree","Full-Time","Yes",3,5,3,4,4,"Independent","",2,0,5,1,"None","Citizen","Non-Moral","Male",NA,"Unspecified",5,4,3.8,5,"Passed","Passed","Passed"
1,2,1,7,6,5,7,7,4,3,6,7,6,7,3,2,3,4,6,5,7,"Yes","No","Utilitarian",4,5,6,5,5,2,3,4,4,2,"Female",69,"White","Not Sure",1,2,"1 Child","Partners/Family","","Indiana","High School","Unemployed",NA,5,7,3,4,5,"Democrat","",1,30,10,7,"","Citizen","Deontological","Female",NA,"White",1,4.5,5,3.25,"Passed","Passed","Passed"
1,2,3,7,7,4,1,4,4,2,5,5,5,5,1,3,4,4,4,5,7,"Yes","No","Deontological",1,1,5,2,2,2,1,3,3,5,"Male",50,"White","No",1,1,"No Children","Housemates","","Illinois","Some college","Unemployed",NA,1,7,3,2,2,"Democrat","",0,10,1,1,"","Citizen","Utilitarian","Male",NA,"White",2,2,2.2,2.25,"Passed","Passed","Passed"
1,4,NA,7,3,4,2,4,2,1,4,5,5,3,1,1,4,2,2,5,5,"Not Sure","No","Utilitarian",1,3,5,4,3,2,1,5,5,3,"Female",21,"Black","No",1,1,"No Children","Partners/Family","","Florida","High School","Full-Time","No",6,7,2,3,3,"Democrat","",5,15,1,3,"","Leader","Non-Moral","Female",NA,"Black",1,3,3.2,3.25,"Passed","Passed","Passed"
1,2,2,7,7,7,1,6,4,1,3,4,5,7,1,2,7,4,3,1,7,"Yes","No","Virtue",5,7,1,7,2,2,1,7,2,3,"Male",62,"Hispanic","No",1,4,"3 Children","Alone","","Florida","High School","Unemployed",NA,4,9,3,1,1,"Democrat","",1,0,1,1,"","Citizen","Virtue","Male",NA,"Unspecified",1,1,4.4,3,"Passed","Passed","Passed"
1,2,3,5,6,3,1,3,5,5,2,3,5,6,1,4,5,3,2,6,5,"Yes","No","Virtue",5,3,5,5,5,2,2,2,5,2,"Male",27,"White","No",1,1,"No Children","Housemates","","Nebraska ","4 Year Degree","Full-Time","Yes",7,4,2,4,2,"Democrat","",0,30,4,3,"","Citizen","Utilitarian","Male",NA,"White",4,3,4.6,2.75,"Passed","Passed","Passed"
1,2,NA,7,3,3,4,3,3,3,3,6,6,5,1,1,4,4,6,4,5,"Yes","No","Virtue",1,1,6,5,1,4,1,1,4,2,"Male",57,"White","No",1,4,"1 Child","Alone","","VIRGINIA","PostGrad or Professional degree","Full-Time","Yes",10,3,2,5,4,"Republican","",2,1,1,1,"","Citizen","Non-Moral","Male",NA,"White",5,4.5,2.8,2.5,"Passed","Passed","Passed"
1,4,3,7,7,6,1,4,4,2,4,3,5,6,1,4,7,2,4,1,7,"Yes","No","Deontological",2,1,3,3,3,2,6,3,4,3,"Female",46,"White","No",1,2,"2 Children","Partners/Family","","AZ","4 Year Degree","Part-Time","No",8,4,3,2,2,"Democrat","",1,30,1,1,"","Leader","Utilitarian","Female",NA,"White",4,2,2.4,3.75,"Passed","Passed","Passed"
1,4,NA,4,4,3,1,6,7,5,7,6,7,4,1,1,3,1,4,7,1,"No","No","Utilitarian",3,2,2,6,1,1,3,1,5,3,"Male",29,"Asian","No",1,2,"3 Children","Partners/Family","","New Jersey","4 Year Degree","Full-Time","Yes",10,2,1,4,4,"None","",2,0,10,7,"","Leader","Non-Moral","Male",NA,"Asian",4,4,2.8,2.5,"Passed","Passed","Passed"
1,2,1,4,3,3,3,4,4,3,4,4,4,5,2,2,3,4,4,6,3,"Not Sure","No","Utilitarian",2,3,2,3,5,5,5,6,5,3,"Male",39,"White","No",1,1,"No Children","Partners/Family","","New York","4 Year Degree","Part-Time","Unsure",4,8,2,2,6,"Independent","",0,45,2,2,"","Citizen","Deontological","Male",NA,"White",4,4,3,5.25,"Passed","Passed","Passed"
1,4,1,7,5,3,3,7,6,6,6,4,5,5,2,2,6,7,1,6,4,"Yes","No","Utilitarian",2,1,5,6,4,1,2,1,2,2,"Male",29,"Hispanic","No",1,1,"No Children","Housemates","","Maryland","Some college","Unemployed",NA,4,6,1,6,4,"Republican","",8,0,10,5,"Good luck, wash your hands, and don't sneeze or cough on  people!","Leader","Deontological","Male",NA,"Unspecified",2,5,3.6,1.5,"Passed","Passed","Passed"
1,2,1,5,5,5,4,4,4,4,3,5,6,6,2,4,7,4,4,1,3,"Yes","No","Utilitarian",5,5,5,5,5,4,5,4,4,3,"Female",36,"Black","No",1,1,"No Children","Alone","","New York","Some college","Full-Time","Unsure",5,8,2,2,2,"Democrat","",9,30,10,7,"","Citizen","Deontological","Female",NA,"Black",2,2,5,4.25,"Passed","Passed","Passed"
1,2,2,7,7,7,3,7,7,7,7,7,7,5,2,2,7,7,4,2,7,"Yes","Not Sure","Deontological",5,2,7,4,2,3,2,2,7,1,"Male",22,"Hispanic","No",2,1,"No Children","Partners/Family","","Arizona","Some college","Full-Time","Yes",10,7,2,6,2,"Independent","",4,0,7,3,"","Citizen","Virtue","Male",NA,"Unspecified",2,4,4,3.5,"Passed","Passed","Passed"
1,2,NA,7,7,5,2,4,3,3,4,4,4,6,1,2,5,6,6,1,7,"Yes","No","Deontological",2,2,3,2,5,5,2,6,6,2,"Female",38,"White","Yes",1,2,"No Children","Partners/Family","","New Jersey","4 Year Degree","Part-Time","Yes",10,2,3,7,7,"Republican","",2,0,10,7,"","Citizen","Non-Moral","Female",NA,"White",4,7,2.8,4.75,"Passed","Passed","Passed"
1,4,NA,6,5,2,1,6,5,1,2,4,5,7,7,3,5,3,2,2,6,"Yes","No","Utilitarian",4,4,2,5,2,3,4,4,4,4,"Female",50,"White","Yes",1,1,"1 Child","Partners/Family","","California","4 Year Degree","Full-Time","No",8,5,2,4,4,"None","",0,15,5,3,"","Leader","Non-Moral","Female",NA,"White",4,4,3.4,3.75,"Passed","Passed","Passed"
1,2,2,7,7,7,1,7,6,6,7,7,7,7,2,4,7,1,5,1,7,"Yes","No","Utilitarian",1,1,5,7,1,1,6,1,1,3,"Female",64,"White","Yes",1,4,"No Children","Alone","","California","Some college","Unemployed",NA,4,4,3,4,4,"Republican","",0,0,10,5,"","Citizen","Virtue","Female",NA,"White",2,4,3,2.25,"Passed","Passed","Passed"
1,2,NA,6,4,3,1,3,3,1,2,1,3,4,1,1,5,2,3,4,4,"Yes","No","Deontological",2,2,2,2,5,2,2,4,2,3,"Other",28,"Asian","No",2,1,"No Children","Alone","","NY","4 Year Degree","Full-Time","Yes",10,8,1,3,1,"Independent","",0,5,1,1,"","Citizen","Non-Moral",NA,NA,"Asian",4,2,2.6,2.5,"Passed","Passed","Passed"
1,2,2,6,7,3,1,5,4,4,6,5,5,5,3,5,5,4,4,3,7,"Yes","No","Utilitarian",2,2,5,3,6,5,1,5,5,3,"Female",22,"White","Yes",1,1,"No Children","Partners/Family","","new jersey","4 Year Degree","Part-Time","No",1,4,3,2,1,"Democrat","",10,0,1,1,"","Citizen","Virtue","Female",NA,"White",4,1.5,3.6,4,"Passed","Passed","Passed"
1,4,2,7,7,7,1,3,3,3,3,4,4,7,4,7,7,5,2,4,7,"Yes","No","Utilitarian",4,5,6,6,5,3,1,3,3,3,"Female",21,"Hispanic","No",2,1,"No Children","Partners/Family","","Texas","Some college","Student",NA,3,7,3,1,1,"Democrat","",2,30,10,3,"","Leader","Virtue","Female",NA,"Unspecified",2,1,5.2,2.5,"Passed","Passed","Passed"
1,2,2,5,4,3,2,4,3,2,2,4,5,5,2,4,4,5,7,3,4,"Yes","No","Utilitarian",4,6,2,2,4,2,2,2,4,4,"Female",20,"Black","No",1,1,"No Children","Alone","","Texas","Some college","Student",NA,2,7,1,3,3,"Democrat","",0,0,6,1,"","Citizen","Virtue","Female",NA,"Black",2,3,3.6,2.5,"Passed","Passed","Passed"
1,4,1,6,6,6,6,4,4,4,5,5,5,6,2,3,6,6,4,3,7,"Yes","No","Virtue",4,4,4,5,4,4,2,4,5,3,"Male",53,"White","No",1,2,"2 Children","Partners/Family","","Minnesota","Some college","Full-Time","Yes",10,5,2,5,4,"None","",1,0,9,6,"","Leader","Deontological","Male",NA,"White",2,4.5,4.2,3.75,"Passed","Passed","Passed"
1,4,3,5,3,2,2,5,3,3,2,4,6,5,1,2,5,3,4,2,3,"Yes","No","Deontological",2,2,5,4,2,3,2,2,3,2,"Male",44,"White","No",1,4,"1 Child","Partners/Family","","Minnesota","Some college","Full-Time","No",4,4,2,4,5,"Republican","",1,0,2,2,"","Leader","Utilitarian","Male",NA,"White",2,4.5,3,2.5,"Passed","Passed","Passed"
1,2,3,7,7,7,6,5,5,5,6,6,7,6,1,2,7,7,7,1,7,"Yes","No","Utilitarian",5,7,4,6,5,5,6,5,5,1,"Female",37,"White","No",1,2,"2 Children","Partners/Family","","Texas","2 year Degree","Part-Time","Yes",9,7,1,5,5,"Republican","",1,0,10,4,"","Citizen","Utilitarian","Female",NA,"White",3,5,5.4,5.25,"Passed","Passed","Passed"
1,4,3,7,7,7,4,5,5,5,3,4,4,5,1,2,7,7,6,1,7,"Yes","No","Utilitarian",1,2,5,3,1,1,3,5,3,1,"Male",39,"Black","No",1,2,"2 Children","Partners/Family","","texas","4 Year Degree","Full-Time","Yes",10,4,3,4,4,"Independent","",1,0,8,3,"N/A","Leader","Utilitarian","Male",NA,"Black",4,4,2.4,3,"Passed","Passed","Passed"
1,4,3,6,4,4,3,4,4,4,4,3,4,5,4,4,4,5,5,4,5,"No","No","Utilitarian",3,3,3,3,3,3,3,3,2,2,"Female",21,"Hispanic","No",1,1,"No Children","Partners/Family","","CA","2 year Degree","Part-Time","No",1,7,2,2,2,"Democrat","",8,30,6,4,"","Leader","Utilitarian","Female",NA,"Unspecified",3,2,3,2.75,"Passed","Passed","Passed"
1,2,2,5,5,5,1,2,2,2,2,5,5,7,1,6,7,7,7,1,7,"Yes","No","Utilitarian",2,2,4,2,5,6,7,5,6,3,"Male",22,"White","No",1,1,"No Children","Partners/Family","","Colorado","Some college","Unemployed",NA,5,8,3,1,5,"Independent","",8,1,1,1,"","Citizen","Virtue","Male",NA,"White",2,3,3,6,"Passed","Passed","Passed"
1,4,1,2,2,2,1,3,3,3,3,5,5,3,1,1,7,5,4,4,5,"Not Sure","No","Utilitarian",1,1,3,1,2,2,5,5,3,3,"Male",36,"Asian","No",1,2,"2 Children","Partners/Family","","KY","PostGrad or Professional degree","Full-Time","Yes",9,3,3,4,1,"Democrat","",3,30,5,2,"nope","Leader","Deontological","Male",NA,"Asian",5,2.5,1.6,3.75,"Passed","Passed","Passed"
1,2,1,7,7,4,6,6,6,4,4,5,6,6,4,4,6,5,4,5,7,"No","No","Utilitarian",4,4,5,4,2,2,5,1,2,3,"Male",64,"White","Not Sure",1,4,"2 Children","Alone","","Illinois","High School","Full-Time","No",7,5,2,4,4,"Democrat","",0,0,2,1,"","Citizen","Deontological","Male",NA,"White",1,4,3.8,2.5,"Passed","Passed","Passed"
1,2,NA,7,6,7,4,5,5,5,7,6,7,6,1,1,1,4,6,4,5,"Yes","No","Utilitarian",5,2,3,5,2,2,4,5,4,3,"Male",35,"White","No",1,2,"1 Child","Partners/Family","","Pennsylvania","4 Year Degree","Full-Time","No",7,6,3,6,6,"Republican","",0,15,8,5,"none.","Citizen","Non-Moral","Male",NA,"White",4,6,3.4,3.75,"Passed","Passed","Passed"
1,2,NA,1,2,1,1,2,1,1,1,2,4,3,1,2,5,5,3,3,1,"Yes","No","Deontological",1,1,6,2,1,1,2,1,1,4,"Male",25,"White","Not Sure",1,1,"No Children","Partners/Family","","TX","2 year Degree","Part-Time","No",3,8,2,4,2,"Independent","",1,0,6,2,"","Citizen","Non-Moral","Male",NA,"White",3,3,2.2,1.25,"Passed","Passed","Passed"
1,2,3,6,6,5,2,3,3,3,4,4,6,5,1,3,6,5,6,3,7,"Yes","No","Deontological",6,3,5,3,5,2,2,2,3,3,"Male",31,"White","No",1,2,"1 Child","Partners/Family","","Pennsylvania","4 Year Degree","Full-Time","Yes",8,4,3,2,1,"Democrat","",3,0,1,1,"","Citizen","Utilitarian","Male",NA,"White",4,1.5,4.4,2.25,"Passed","Passed","Passed"
1,2,NA,7,7,7,1,3,4,3,5,5,5,7,2,4,5,3,2,2,7,"Yes","No","Utilitarian",1,1,2,6,2,5,2,2,3,3,"Male",66,"White","Yes",1,4,"3 Children","Alone","","CA","4 Year Degree","Unemployed",NA,6,5,3,1,1,"Democrat","",0,0,1,1,"","Citizen","Non-Moral","Male",NA,"White",4,1,2.4,3,"Passed","Passed","Passed"
1,4,1,6,4,4,7,6,7,7,4,6,7,6,4,4,7,1,4,1,4,"Yes","No","Deontological",7,7,7,2,1,3,5,5,3,1,"Male",19,"Hispanic","No",1,1,"No Children","Partners/Family","","Florida","Some college","Student",NA,2,4,2,7,7,"Republican","",1,0,1,1,"","Leader","Deontological","Male",NA,"Unspecified",2,7,4.8,4,"Passed","Passed","Passed"
1,4,1,6,2,2,1,5,5,3,4,4,4,3,1,1,2,2,3,7,4,"Not Sure","No","Utilitarian",1,1,4,1,3,1,1,1,4,6,"Male",22,"White","Not Sure",1,1,"No Children","Partners/Family","","California","Some college","Part-Time","No",3,3,3,1,1,"Democrat","",1,30,1,1,"","Leader","Deontological","Male",NA,"White",2,1,2,1.75,"Passed","Passed","Passed"
1,4,2,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,7,1,7,"Yes","Yes","Deontological",1,1,3,2,1,4,1,1,5,3,"Female",32,"White","Not Sure",1,1,"No Children","Partners/Family","","Illinois","4 Year Degree","Unemployed",NA,1,1,3,5,3,"Independent","",16,0,10,7,"","Leader","Virtue","Female",NA,"White",4,4,1.6,2.75,"Passed","Passed","Passed"
